Index,Avg Measured,Avg Set
1,96,96
2,97,96
3,98,96
4,98,96
5,97,96
6,97,96
7,96,96
8,98,96
9,97,96
10,97,96
11,97,96
12,96,96
13,96,96
14,96,96
15,97,96
16,97,96
17,95,96
18,96,96
19,96,96
20,97,96
21,97,96
22,98,96
23,96,96
24,96,96
25,98,96
26,97,96
27,97,96
28,83,75
29,76,75
30,70,75
31,72,75
32,74,75
33,75,75
34,76,75
35,76,75
36,75,75
37,75,75
38,75,75
39,72,75
40,74,75
41,74,75
42,75,75
43,76,75
44,74,75
45,74,100
46,70,100
47,106,100
48,113,100
49,107,100
50,99,100
51,99,100
52,98,75
53,83,75
54,96,75
55,79,75
56,71,75
57,69,75
58,73,75
59,76,75
60,78,100
61,84,100
62,95,100
63,102,100
64,102,75
65,78,75
66,69,75
67,70,75
68,74,75
69,76,75
70,77,75
71,76,75
72,75,75
73,42,100
74,82,100
75,119,100
76,129,100
77,104,100
78,94,100
79,94,100
80,64,75
81,85,75
82,88,75
83,81,96
84,80,96
85,90,96
86,97,75
87,89,75
88,74,75
89,72,96
90,49,0
91,7,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
