Index,MotorB Measured,MotorB Set
1,100,100
2,100,100
3,102,100
4,100,100
5,100,100
6,100,100
7,100,100
8,102,100
9,100,100
10,100,100
11,100,100
12,100,100
13,100,100
14,100,100
15,100,100
16,100,100
17,98,100
18,100,100
19,100,100
20,102,100
21,102,100
22,100,100
23,100,100
24,100,100
25,102,100
26,102,100
27,100,100
28,66,50
29,48,50
30,38,50
31,44,50
32,48,50
33,50,50
34,52,50
35,50,50
36,50,50
37,50,100
38,56,100
39,96,100
40,108,100
41,106,100
42,102,100
43,100,100
44,98,100
45,100,100
46,92,100
47,96,100
48,106,100
49,106,100
50,100,100
51,100,100
52,98,100
53,104,100
54,140,100
55,110,100
56,94,100
57,90,100
58,98,100
59,102,100
60,104,100
61,98,100
62,96,100
63,100,100
64,96,50
65,52,50
66,38,50
67,44,50
68,50,50
69,52,50
70,52,50
71,50,50
72,48,50
73,44,100
74,72,100
75,110,100
76,122,100
77,106,100
78,96,100
79,94,100
80,36,50
81,66,50
82,70,50
83,54,100
84,64,100
85,90,100
86,104,50
87,76,50
88,42,50
89,40,100
90,32,0
91,2,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
